Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	pLI	DSI_g	DPI_g	N_diseases	N_SNPs
PAM	5066	P19021	peptidylglycine alpha-amidating monooxygenase	Enzyme	6.934e-06	0.542	0.692	155	23
CNTN3	5067	Q9P232	contactin 3		1.9893e-05	0.612	0.654	77	2
REG3A	5068	Q06141	regenerating family member 3 alpha		0.00062895	0.522	0.769	148	1
PAPPA	5069	Q13219	pappalysin 1		0.1613	0.558	0.692	125	12
PRKN	5071	O60260	parkin RBR E3 ubiquitin protein ligase	Enzyme	6.9346e-07	0.431	0.846	409	88
PARK3	5072		Parkinson disease 3 (autosomal dominant, Lewy body)			0.821	0.038	6	0
PARN	5073	O95453	poly(A)-specific ribonuclease	Nucleic acid binding	0.00037303	0.575	0.769	144	14
PAWR	5074	Q96IZ0	pro-apoptotic WT1 regulator		0.089515	0.542	0.846	133	5
PAX1	5075	P15863	paired box 1		0.70019	0.593	0.654	89	3
PAX2	5076	Q02962	paired box 2		0.66999	0.495	0.731	216	29
PAX3	5077	P23760	paired box 3		0.24063	0.481	0.769	257	62
PAX4	5078	O43316	paired box 4		0.00042273	0.644	0.423	63	8
PAX5	5079	Q02548	paired box 5		0.99798	0.487	0.654	199	18
PAX6	5080	P26367	paired box 6		0.99975	0.45	0.769	340	118
PAX7	5081	P23759	paired box 7		0.14469	0.597	0.538	78	8
PDCL	5082	Q13371	phosducin like		0.30486	0.89	0.077	5	0
PAX9	5083	P55771	paired box 9		0.30866	0.636	0.538	53	23
PBX1	5087	P40424	PBX homeobox 1	Transcription factor	0.99527	0.534	0.846	167	14
PBX2	5089	P40425	PBX homeobox 2	Transcription factor	0.99532	0.686	0.462	29	15
PBX3	5090	P40426	PBX homeobox 3	Transcription factor	0.36301	0.619	0.5	60	10
PC	5091	P11498	pyruvate carboxylase	Enzyme	0.013834	0.515	0.808	183	32
PCBD1	5092	P61457	pterin-4 alpha-carbinolamine dehydratase 1	Enzyme	0.00033216	0.623	0.769	68	8
PCBP1	5093	Q15365	poly(rC) binding protein 1	Enzyme	0.90945	0.65	0.538	49	1
PCBP2	5094	Q15366	poly(rC) binding protein 2	Enzyme	0.99617	0.647	0.577	44	0
PCCA	5095	P05165	propionyl-CoA carboxylase subunit alpha	Enzyme	3.1345e-15	0.682	0.538	57	61
PCCB	5096	P05166	propionyl-CoA carboxylase subunit beta	Enzyme	1.53e-08	0.695	0.577	57	71
PCDH1	5097	Q08174	protocadherin 1		0.99838	0.769	0.308	11	2
PCDHGC3	5098	Q9UN70	protocadherin gamma subfamily C, 3		0.12536	0.89	0.154	10	0
PCDH7	5099	O60245	protocadherin 7		0.39505	0.663	0.462	35	6
PCDH8	5100	O95206	protocadherin 8		3.424e-05	0.659	0.577	39	0
PCDH9	5101	Q9HC56	protocadherin 9		0.80865	0.682	0.5	35	14
SERPINA5	5104	P05154	serpin family A member 5	Enzyme modulator	6.2368e-09	0.507	0.808	185	11
PCK1	5105	P35558	phosphoenolpyruvate carboxykinase 1	Kinase	8.7476e-15	0.608	0.538	73	12
PCK2	5106	Q16822	phosphoenolpyruvate carboxykinase 2, mitochondrial	Kinase	1.7471e-23	0.653	0.423	53	2
PCM1	5108	Q15154	pericentriolar material 1		3.7067e-16	0.644	0.615	44	2
PCMT1	5110	P22061	protein-L-isoaspartate (D-aspartate) O-methyltransferase	Enzyme	0.78453	0.691	0.423	30	3
PCNA	5111	P12004	proliferating cell nuclear antigen	Nucleic acid binding	0.97606	0.382	0.846	581	6
PCNT	5116	O95613	pericentrin		4.0172e-58	0.564	0.808	156	43
PCOLCE	5118	Q15113	procollagen C-endopeptidase enhancer		5.8392e-05	0.76	0.269	15	1
CHMP1A	5119	Q9HD42	charged multivesicular body protein 1A		0.00028502	0.695	0.5	43	10
PCOS1	5120		polycystic ovary syndrome 1			0.722	0.423	22	0
PCP4	5121	P48539	Purkinje cell protein 4		0.0021696	0.682	0.423	36	0
PCSK1	5122	P29120	proprotein convertase subtilisin/kexin type 1	Enzyme	2.745e-09	0.548	0.615	140	16
PCSK5	5125	Q92824	proprotein convertase subtilisin/kexin type 5	Enzyme	2.5352e-12	0.659	0.538	57	19
PCSK2	5126	P16519	proprotein convertase subtilisin/kexin type 2	Enzyme	0.99853	0.663	0.462	39	13
CDK16	5127	Q00536	cyclin dependent kinase 16	Kinase	0.9948	0.636	0.577	52	1
CDK17	5128	Q00537	cyclin dependent kinase 17	Kinase	0.99947			2	2
CDK18	5129	Q07002	cyclin dependent kinase 18	Kinase	6.9526e-11	0.769	0.192	12	1
PCYT1A	5130	P49585	phosphate cytidylyltransferase 1, choline, alpha		2.024e-05	0.485	0.885	256	12
PDB1	5131		Paget disease of bone 1			0.705	0.538	26	0
PDC	5132	P20941	phosducin		0.00010134	0.581	0.731	95	4
PDCD1	5133	Q15116	programmed cell death 1		0.41706	0.402	0.846	497	9
PDCD2	5134	Q16342	programmed cell death 2		3.8955e-07	0.7	0.423	31	0
PDE1A	5136	P54750	phosphodiesterase 1A		0.013549	0.743	0.385	14	12
PDE1C	5137	Q14123	phosphodiesterase 1C		5.3913e-09	0.7	0.423	41	57
PDE2A	5138	O00408	phosphodiesterase 2A		0.631	0.666	0.577	47	6
PDE3A	5139	Q14432	phosphodiesterase 3A		0.00019291	0.67	0.577	58	23
PDE3B	5140	Q13370	phosphodiesterase 3B		5.7226e-05	0.659	0.577	44	11
PDE4A	5141	P27815	phosphodiesterase 4A		0.98167	0.523	0.846	168	3
PDE4B	5142	Q07343	phosphodiesterase 4B		0.4746	0.566	0.731	108	42
PDE4C	5143	Q08493	phosphodiesterase 4C		1.4755e-07	0.805	0.154	10	1
PDE4D	5144	Q08499	phosphodiesterase 4D		0.9998	0.519	0.846	210	68
PDE6A	5145	P16499	phosphodiesterase 6A		6.5775e-25	0.691	0.269	42	17
PDE6C	5146	P51160	phosphodiesterase 6C		2.323e-16	0.7	0.269	37	30
PDE6D	5147	O43924	phosphodiesterase 6D	Enzyme	0.006423	0.623	0.577	79	3
PDE6G	5148	P18545	phosphodiesterase 6G	Enzyme	0.013418	0.695	0.308	41	1
PDE6H	5149	Q13956	phosphodiesterase 6H	Enzyme	0.0082921	0.7	0.269	33	1
PDE7A	5150	Q13946	phosphodiesterase 7A		0.0045645	0.659	0.577	40	0
PDE8A	5151	O60658	phosphodiesterase 8A		0.00011503	0.76	0.5	16	7
PDE9A	5152	O76083	phosphodiesterase 9A		0.0045595	0.736	0.192	19	2
PDE1B	5153	Q01064	phosphodiesterase 1B		0.33646	0.769	0.423	18	0
PDGFA	5154	P04085	platelet derived growth factor subunit A	Signaling	0.80842	0.533	0.731	135	2
PDGFB	5155	P01127	platelet derived growth factor subunit B	Signaling	0.77006	0.488	0.846	301	9
PDGFRA	5156	P16234	platelet derived growth factor receptor alpha	Kinase	1.0	0.415	0.808	452	44
PDGFRL	5157	Q15198	platelet derived growth factor receptor like	Enzyme	1.1787e-14	0.769	0.385	19	5
PDE6B	5158	P35913	phosphodiesterase 6B		2.6155e-27	0.626	0.346	64	37
PDGFRB	5159	P09619	platelet derived growth factor receptor beta	Kinase	0.9041	0.416	0.846	492	30
PDHA1	5160	P08559	pyruvate dehydrogenase E1 subunit alpha 1		0.98842	0.581	0.538	129	47
PDHA2	5161	P29803	pyruvate dehydrogenase E1 subunit alpha 2		3.9282e-09	0.89	0.154	6	4
PDHB	5162	P11177	pyruvate dehydrogenase E1 subunit beta		0.15201	0.711	0.385	21	2
PDK1	5163	Q15118	pyruvate dehydrogenase kinase 1	Kinase	1.0963e-05	0.51	0.808	164	1
PDK2	5164	Q15119	pyruvate dehydrogenase kinase 2	Kinase	3.7102e-06	0.751	0.269	20	2
PDK3	5165	Q15120	pyruvate dehydrogenase kinase 3	Kinase	0.44547	0.678	0.5	51	1
PDK4	5166	Q16654	pyruvate dehydrogenase kinase 4	Kinase	9.142e-12	0.578	0.577	85	5
ENPP1	5167	P22413	ectonucleotide pyrophosphatase/phosphodiesterase 1	Enzyme	4.9944e-08	0.498	0.808	247	52
ENPP2	5168	Q13822	ectonucleotide pyrophosphatase/phosphodiesterase 2	Enzyme	0.0027913	0.582	0.769	95	1
ENPP3	5169	O14638	ectonucleotide pyrophosphatase/phosphodiesterase 3	Enzyme	3.468e-23	0.663	0.538	41	2
PDPK1	5170	O15530	3-phosphoinositide dependent protein kinase 1	Kinase	0.98013	0.588	0.808	77	0
PDR	5171		pigment disorder, reticulate			0.592	0.692	81	0
SLC26A4	5172	O43511	solute carrier family 26 member 4	Transporter	8.9898e-22	0.507	0.885	194	174
PDYN	5173	P01213	prodynorphin	Signaling	0.00017033	0.535	0.577	197	13
PDZK1	5174	Q5T2W1	PDZ domain containing 1		1.1586e-09	0.65	0.654	47	8
PECAM1	5175	P16284	platelet and endothelial cell adhesion molecule 1	Cell adhesion		0.426	0.846	396	13
SERPINF1	5176	P36955	serpin family F member 1	Enzyme modulator	7.8044e-08	0.46	0.846	294	15
PEE1	5177		preeclampsia/eclampsia 1					2	0
PEG3	5178	Q9GZU2	paternally expressed 3	Transcription factor	2.6257e-05	0.61	0.654	62	4
PENK	5179	P01210	proenkephalin	Signaling	0.0002077	0.56	0.808	124	5
PEPB	5182		peptidase B			1.0	0.038	1	0
PEPC	5183		peptidase C					1	0
PEPD	5184	P12955	peptidase D	Enzyme	1.4633e-14	0.621	0.769	113	36
PER1	5187	O15534	period circadian regulator 1	Transcription factor	0.00029308	0.556	0.731	111	8
GATB	5188	O75879	glutamyl-tRNA amidotransferase subunit B	Enzyme	3.9989e-10	1.0		2	6
PEX1	5189	O43933	peroxisomal biogenesis factor 1		1.0572e-14	0.538	0.769	235	104
PEX6	5190	Q13608	peroxisomal biogenesis factor 6		6.253e-06	0.547	0.731	232	58
PEX7	5191	O00628	peroxisomal biogenesis factor 7		8.1798e-13	0.603	0.615	100	42
PEX10	5192	O60683	peroxisomal biogenesis factor 10		0.00054204	0.584	0.654	141	27
PEX12	5193	O00623	peroxisomal biogenesis factor 12	Transporter	9.4838e-16	0.601	0.615	126	41
PEX13	5194	Q92968	peroxisomal biogenesis factor 13		5.8959e-05	0.597	0.654	132	7
PEX14	5195	O75381	peroxisomal biogenesis factor 14	Receptor	0.22566	0.592	0.692	133	19
PF4	5196	P02776	platelet factor 4	Signaling	0.043062	0.522	0.846	158	1
PF4V1	5197	P10720	platelet factor 4 variant 1	Signaling	0.00081618	0.76	0.462	19	2
PFAS	5198	O15067	phosphoribosylformylglycinamidine synthase		9.8526e-18	0.78	0.308	18	4
CFP	5199	P27918	complement factor properdin		0.68778	0.573	0.692	108	7
PFDN1	5201	O60925	prefoldin subunit 1	Transcription factor	0.84732	0.821	0.192	11	1
PFDN2	5202	Q9UHV9	prefoldin subunit 2	Chaperone	0.34971	1.0	0.077	1	0
PFDN4	5203	Q9NQP4	prefoldin subunit 4		0.47588	0.792	0.231	11	0
PFDN5	5204	Q99471	prefoldin subunit 5	Chaperone	0.00056773	0.716	0.5	24	2
ATP8B1	5205	O43520	ATPase phospholipid transporting 8B1	Transporter	2.7666e-10	0.61	0.5	70	38
PFKFB1	5207	P16118	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	Kinase	4.878e-07	1.0	0.038	3	0
PFKFB2	5208	O60825	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	Kinase	2.3914e-07	0.76	0.231	22	4
PFKFB3	5209	Q16875	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	Kinase	0.24579	0.561	0.808	104	1
PFKFB4	5210	Q16877	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	Enzyme	2.1422e-09	0.666	0.346	40	3
PFKL	5211	P17858	phosphofructokinase, liver type	Kinase	2.702e-17	0.722	0.269	19	0
VIT	5212	Q6UXI7	vitrin	Receptor	5.435e-32	0.821	0.154	13	6
PFKM	5213	P08237	phosphofructokinase, muscle	Kinase	3.7625e-18	0.666	0.5	58	14
PFKP	5214	Q01813	phosphofructokinase, platelet	Kinase	8.8342e-25	0.76	0.346	19	1
PFN1	5216	P07737	profilin 1		0.73258	0.565	0.769	119	8
PFN2	5217	P35080	profilin 2		0.4212	0.686	0.462	32	1
CDK14	5218	O94921	cyclin dependent kinase 14	Kinase	2.5012e-08	0.659	0.423	40	21
PGA5	5222	P0DJD9	pepsinogen A5	Enzyme	4.6125e-10	0.78	0.308	12	1
PGAM1	5223	P18669	phosphoglycerate mutase 1		2.5841e-07	0.621	0.615	62	0
PGAM2	5224	P15259	phosphoglycerate mutase 2		1.3574e-07	0.792	0.308	22	6
PGC	5225	P20142	progastricsin	Enzyme	6.752e-11	0.603	0.692	83	8
PGD	5226	P52209	phosphogluconate dehydrogenase	Enzyme	0.98788	0.576	0.769	86	1
PGF	5228	P49763	placental growth factor	Signaling	0.1288	0.46	0.846	288	2
PGGT1B	5229	P53609	protein geranylgeranyltransferase type I subunit beta	Enzyme	0.040841	0.769	0.346	15	0
PGK1	5230	P00558	phosphoglycerate kinase 1	Kinase	0.76537	0.542	0.769	144	122
PGK1P1	5231		phosphoglycerate kinase 1 pseudogene 1			0.821	0.269	6	0
PGK2	5232	P07205	phosphoglycerate kinase 2	Kinase	9.6757e-06	0.89	0.115	3	0
PGM1	5236	P36871	phosphoglucomutase 1		5.0551e-15	0.628	0.577	72	35
PGM3	5238	O95394	phosphoglucomutase 3		1.4641e-05	0.61	0.769	85	13
PGM5	5239	Q15124	phosphoglucomutase 5		0.00059096	0.751	0.269	13	0
PGR	5241	P06401	progesterone receptor	Nuclear receptor	0.051042	0.426	0.885	392	33
ABCB1	5243	P08183	ATP binding cassette subfamily B member 1	Transporter	1.2564e-05	0.344	0.885	933	59
ABCB4	5244	P21439	ATP binding cassette subfamily B member 4	Transporter	2.2138e-07	0.529	0.615	157	65
PHB	5245	P35232	prohibitin		0.7588	0.511	0.846	177	8
PHBP1	5246		prohibitin pseudogene 1			1.0	0.077	2	0
SLC25A3	5250	Q00325	solute carrier family 25 member 3	Transporter	0.074834	0.566	0.692	112	1
PHEX	5251	P78562	phosphate regulating endopeptidase homolog X-linked	Enzyme	0.99996	0.548	0.808	142	118
PHF1	5252	O43189	PHD finger protein 1	Nucleic acid binding	0.99956	0.691	0.346	32	0
PHF2	5253	O75151	PHD finger protein 2		1.0	0.711	0.423	27	7
PHKA1	5255	P46020	phosphorylase kinase regulatory subunit alpha 1	Kinase	2.0904e-07	0.839	0.115	15	4
PHKA2	5256	P46019	phosphorylase kinase regulatory subunit alpha 2	Kinase	0.3839	0.678	0.462	47	32
PHKB	5257	Q93100	phosphorylase kinase regulatory subunit beta	Enzyme modulator	1.581e-21	0.769	0.269	22	6
PHKG1	5260	Q16816	phosphorylase kinase catalytic subunit gamma 1	Kinase	3.572e-15	0.931	0.154	5	5
PHKG2	5261	P15735	phosphorylase kinase catalytic subunit gamma 2	Kinase	0.0038581	0.674	0.538	53	12
PHYH	5264	O14832	phytanoyl-CoA 2-hydroxylase		2.3792e-06	0.659	0.577	65	13
SERPINA1	5265	P01009	serpin family A member 1	Enzyme modulator	6.8497e-08	0.41	0.923	482	61
PI3	5266	P19957	peptidase inhibitor 3	Enzyme modulator	0.16965	0.57	0.692	92	1
SERPINA4	5267	P29622	serpin family A member 4	Enzyme modulator	9.7276e-09	0.641	0.654	45	3
SERPINB5	5268	P36952	serpin family B member 5	Enzyme modulator	0.0036486	0.582	0.577	87	5
SERPINB6	5269	P35237	serpin family B member 6	Enzyme modulator	0.00011009	0.547	0.769	128	3
SERPINE2	5270	P07093	serpin family E member 2	Enzyme modulator	0.7299	0.592	0.692	87	12
SERPINB8	5271	P50452	serpin family B member 8	Enzyme modulator	2.7764e-09	0.792	0.154	10	4
SERPINB9	5272	P50453	serpin family B member 9	Enzyme modulator	0.012327	0.695	0.5	32	1
SERPINB10	5273	P48595	serpin family B member 10	Enzyme modulator	3.3122e-10	0.89	0.192	7	4
SERPINI1	5274	Q99574	serpin family I member 1	Enzyme modulator	0.026631	0.631	0.462	58	7
SERPINB13	5275	Q9UIV8	serpin family B member 13	Enzyme modulator	7.0156e-06	0.89	0.077	5	2
SERPINI2	5276	O75830	serpin family I member 2	Enzyme modulator	6.9523e-15	0.931	0.038	4	1
PIGA	5277	P37287	phosphatidylinositol glycan anchor biosynthesis class A		0.96072	0.575	0.654	140	21
PIGC	5279	Q92535	phosphatidylinositol glycan anchor biosynthesis class C	Enzyme	0.0055065	0.691	0.346	55	13
PIGF	5281	Q07326	phosphatidylinositol glycan anchor biosynthesis class F	Enzyme	0.00071995	0.716	0.385	26	4
PIGH	5283	Q14442	phosphatidylinositol glycan anchor biosynthesis class H		0.2307	0.76	0.231	23	2
PIGR	5284	P01833	polymeric immunoglobulin receptor		0.81331	0.615	0.808	71	5
PIK3C2A	5286	O00443	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	Kinase	0.010126	0.633	0.692	80	5
PIK3C2B	5287	O00750	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	Kinase	0.99651	0.691	0.462	33	8
PIK3C2G	5288	O75747	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma	Kinase	9.5013e-40	0.839	0.269	9	8
PIK3C3	5289	Q8NEB9	phosphatidylinositol 3-kinase catalytic subunit type 3	Kinase	8.4165e-11	0.647	0.615	49	1
PIK3CA	5290	P42336	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	Kinase	1.0	0.292	0.923	1511	83
PIK3CB	5291	P42338	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	Kinase	0.99964	0.322	0.885	1083	13
PIM1	5292	P11309	Pim-1 proto-oncogene, serine/threonine kinase	Kinase	0.84846	0.482	0.769	224	2
PIK3CD	5293	O00329	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	Kinase	0.99999	0.319	0.885	1119	24
PIK3CG	5294	P48736	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	Kinase	1.4076e-06	0.32	0.885	1101	12
PIK3R1	5295	P27986	phosphoinositide-3-kinase regulatory subunit 1	Kinase	0.99978	0.477	0.885	285	45
PIK3R2	5296	O00459	phosphoinositide-3-kinase regulatory subunit 2	Enzyme modulator	0.016273	0.551	0.808	120	8
PI4KA	5297	P42356	phosphatidylinositol 4-kinase alpha	Kinase	3.1234e-12	0.695	0.577	31	9
PI4KB	5298	Q9UBF8	phosphatidylinositol 4-kinase beta	Kinase	0.86607	0.839	0.308	7	0
PIN1	5300	Q13526	peptidylprolyl cis/trans isomerase, NIMA-interacting 1		0.74031	0.488	0.769	212	5
PIN4	5303	Q9Y237	peptidylprolyl cis/trans isomerase, NIMA-interacting 4		0.71293	0.861	0.231	6	0
PIP	5304	P12273	prolactin induced protein		0.00068286	0.556	0.808	109	2
PIP4K2A	5305	P48426	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	Kinase	0.14155	0.647	0.423	42	17
PITPNA	5306	Q00169	phosphatidylinositol transfer protein alpha	Transporter	0.96513	0.89	0.231	5	1
PITX1	5307	P78337	paired like homeodomain 1		0.88244	0.561	0.654	109	5
PITX2	5308	Q99697	paired like homeodomain 2		0.97618	0.489	0.808	248	27
PITX3	5309	O75364	paired like homeodomain 3		0.81276	0.585	0.692	93	8
PKD1	5310	P98161	polycystin 1, transient receptor potential channel interacting		1.0	0.493	0.769	217	201
PKD2	5311	Q13563	polycystin 2, transient receptor potential cation channel	Ion channel	0.00017271	0.552	0.731	122	79
PKD3	5312		polycystic kidney disease 3 (autosomal dominant)			0.76	0.308	16	0
PKLR	5313	P30613	pyruvate kinase L/R	Kinase	3.4869e-07	0.603	0.615	79	70
PKHD1	5314	P08F94	PKHD1 ciliary IPT domain containing fibrocystin/polyductin		1.1657e-47	0.576	0.654	115	324
PKM	5315	P14618	pyruvate kinase M1/2	Kinase	0.8549	0.482	0.808	237	2
PKNOX1	5316	P55347	PBX/knotted 1 homeobox 1	Enzyme	0.99401	0.674	0.538	34	2
PKP1	5317	Q13835	plakophilin 1	Cellular structure	0.00058339	0.659	0.462	54	5
PKP2	5318	Q99959	plakophilin 2	Cellular structure	3.1147e-18	0.606	0.538	82	112
PLA2G1B	5319	P04054	phospholipase A2 group IB	Enzyme	1.0057e-10	0.468	0.846	268	2
PLA2G2A	5320	P14555	phospholipase A2 group IIA	Enzyme	0.097278	0.488	0.808	215	6
PLA2G4A	5321	P47712	phospholipase A2 group IVA	Enzyme	5.9817e-05	0.496	0.846	202	15
PLA2G5	5322	P39877	phospholipase A2 group V	Enzyme	5.3834e-05	0.751	0.385	29	15
PLAG1	5324	Q6DJT9	PLAG1 zinc finger	Transcription factor	0.99532	0.493	0.808	219	12
PLAGL1	5325	Q9UM63	PLAG1 like zinc finger 1		0.9764	0.566	0.769	130	3
PLAGL2	5326	Q9UPG8	PLAG1 like zinc finger 2	Transcription factor	0.98253	0.691	0.385	29	0
PLAT	5327	P00750	plasminogen activator, tissue type	Enzyme	5.6593e-05	0.445	0.885	392	7
PLAU	5328	P00749	plasminogen activator, urokinase	Enzyme	2.3058e-06	0.425	0.923	439	8
PLAUR	5329	Q03405	plasminogen activator, urokinase receptor		0.0053378	0.536	0.731	147	8
PLCB2	5330	Q00722	phospholipase C beta 2	Enzyme	3.0661e-20	0.78	0.231	19	1
PLCB3	5331	Q01970	phospholipase C beta 3	Enzyme	0.93999	0.729	0.385	32	6
PLCB4	5332	Q15147	phospholipase C beta 4	Enzyme	3.0437e-06	0.61	0.731	89	12
PLCD1	5333	P51178	phospholipase C delta 1	Enzyme	1.737e-19	0.636	0.577	62	7
PLCL1	5334	Q15111	phospholipase C like 1 (inactive)	Enzyme	0.012059	0.608	0.654	69	96
PLCG1	5335	P19174	phospholipase C gamma 1	Enzyme	7.9288e-05	0.564	0.692	116	7
PLCG2	5336	P16885	phospholipase C gamma 2	Enzyme	0.99562	0.588	0.808	82	11
PLD1	5337	Q13393	phospholipase D1		4.7758e-21	0.576	0.731	104	14
PLD2	5338	O14939	phospholipase D2		4.1429e-27	0.617	0.654	75	3
PLEC	5339	Q15149	plectin	Cellular structure	8.3469e-12	0.523	0.808	218	35
PLG	5340	P00747	plasminogen	Enzyme	0.010345	0.389	0.923	586	34
PLEK	5341	P08567	pleckstrin	Cellular structure	0.001067	0.588	0.731	83	6
SERPINF2	5345	P08697	serpin family F member 2	Enzyme modulator	0.013624	0.575	0.808	104	7
PLIN1	5346	O60240	perilipin 1		3.1486e-11	0.59	0.654	85	9
PLK1	5347	P53350	polo like kinase 1	Kinase	0.97851	0.467	0.808	253	2
FXYD1	5348	O00168	FXYD domain containing ion transport regulator 1	Ion channel	0.24395	0.682	0.385	26	0
FXYD3	5349	Q14802	FXYD domain containing ion transport regulator 3	Ion channel	1.0105e-05	0.682	0.423	34	0
PLN	5350	P26678	phospholamban		0.44947	0.595	0.577	90	6
PLOD1	5351	Q02809	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	Enzyme	1.4837e-15	0.579	0.731	123	19
PLOD2	5352	O00469	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	Enzyme	6.6965e-08	0.559	0.654	114	11
PLP1	5354	P60201	proteolipid protein 1	Cellular structure	0.92845	0.543	0.769	160	43
PLP2	5355	Q04941	proteolipid protein 2		0.0043931	0.711	0.385	24	0
PLRG1	5356	O43660	pleiotropic regulator 1		0.99911	0.769	0.192	21	0
PLS1	5357	Q14651	plastin 1	Cellular structure	1.1321e-05	0.821	0.346	15	25
PLS3	5358	P13797	plastin 3	Cellular structure	0.98844	0.656	0.5	47	5
PLSCR1	5359	O15162	phospholipid scramblase 1	Transporter	0.011923	0.674	0.5	33	0
PLTP	5360	P55058	phospholipid transfer protein		8.9961e-09	0.633	0.654	62	9
PLXNA1	5361	Q9UIW2	plexin A1		0.99951	0.621	0.615	62	4
PLXNA2	5362	O75051	plexin A2		1.0768e-06	0.447	0.808	307	16
PLXNB1	5364	O43157	plexin B1		0.00038291	0.621	0.692	65	0
PLXNB3	5365	Q9ULL4	plexin B3		0.23163	0.861	0.154	8	0
PMAIP1	5366	Q13794	phorbol-12-myristate-13-acetate-induced protein 1		0.11182	0.559	0.808	109	2
PMCH	5367	P20382	pro-melanin concentrating hormone		0.11486	0.615	0.808	57	0
PNOC	5368	Q13519	prepronociceptin	Signaling	0.015028	0.603	0.577	103	1
PML	5371	P29590	promyelocytic leukemia		0.21291	0.477	0.846	274	14
PMM1	5372	Q92871	phosphomannomutase 1	Enzyme	1.6587e-06	0.861	0.231	5	0
PMM2	5373	O15305	phosphomannomutase 2	Enzyme	1.4072e-17	0.535	0.769	214	82
PMP2	5375	P02689	peripheral myelin protein 2		0.0084728	0.769	0.231	20	3
PMP22	5376	Q01453	peripheral myelin protein 22	Cellular structure	0.90958	0.471	0.885	341	33
PMS1	5378	P54277	PMS1 homolog 1, mismatch repair system component	Nucleic acid binding	1.3178e-17	0.569	0.654	115	8
PMS2P1	5379	A4D2B8	PMS1 homolog 2, mismatch repair system component pseudogene 1	Nucleic acid binding		1.0	0.077	4	3
PMS2P2	5380	O95744	PMS1 homolog 2, mismatch repair system component pseudogene 2	Nucleic acid binding		0.861	0.115	4	0
PMS2P3	5387	Q13401	PMS1 homolog 2, mismatch repair system component pseudogene 3	Nucleic acid binding		0.931	0.115	3	1
EXOSC9	5393	Q06265	exosome component 9	Enzyme	1.7871e-11	0.705	0.423	55	8
EXOSC10	5394	Q01780	exosome component 10		1.9676e-14	0.839	0.154	8	2
PMS2	5395	P54278	PMS1 homolog 2, mismatch repair system component	Nucleic acid binding	4.5176e-27	0.484	0.808	244	282
PRRX1	5396	P54821	paired related homeobox 1		0.24291	0.543	0.769	134	11
PNLIP	5406	P16233	pancreatic lipase	Enzyme	1.604e-08	0.743	0.308	17	2
PNLIPRP1	5407	P54315	pancreatic lipase related protein 1	Enzyme	1.0944e-13	1.0	0.077	2	1
PNLIPRP2	5408	P54317	pancreatic lipase related protein 2 (gene/pseudogene)	Enzyme	3.9766e-10	0.89	0.038	6	3
PNMT	5409	P11086	phenylethanolamine N-methyltransferase	Enzyme	0.0050065	0.653	0.538	37	5
PNN	5411	Q9H307	pinin, desmosome associated protein		0.11262	0.638	0.577	55	0
UBL3	5412	O95164	ubiquitin like 3	Enzyme	0.73544	0.89	0.154	4	0
SEPTIN5	5413	Q99719	septin 5	Enzyme modulator	0.92671	0.691	0.462	29	4
SEPTIN4	5414	O43236;Q8NEP4	septin 4	Enzyme modulator	2.7268e-05	0.644	0.692	48	4
PODXL	5420	O00592	podocalyxin like		0.0010333	0.551	0.731	156	5
POLA1	5422	P09884	DNA polymerase alpha 1, catalytic subunit		1.0	0.653	0.731	68	6
POLB	5423	P06746	DNA polymerase beta	Enzyme	3.4002e-05	0.606	0.654	63	6
POLD1	5424	P28340	DNA polymerase delta 1, catalytic subunit		2.4179e-06	0.507	0.769	189	9
POLD2	5425	P49005	DNA polymerase delta 2, accessory subunit	Enzyme	0.00097201	0.861	0.231	9	2
POLE	5426	Q07864	DNA polymerase epsilon, catalytic subunit		8.0488e-27	0.526	0.731	151	15
POLE2	5427	P56282	DNA polymerase epsilon 2, accessory subunit	Enzyme	2.8528e-07	1.0	0.038	1	0
POLG	5428	P54098	DNA polymerase gamma, catalytic subunit	Enzyme	2.0756e-09	0.457	0.846	462	173
POLH	5429	Q9Y253	DNA polymerase eta		3.5414e-09	0.663	0.462	44	18
POLR2A	5430	P24928	RNA polymerase II subunit A	Enzyme	1.0	0.65	0.423	47	8
POLR2B	5431	P30876	RNA polymerase II subunit B	Enzyme	0.52372	0.839	0.231	9	4
POLR2C	5432	P19387	RNA polymerase II subunit C	Enzyme	0.0014592	0.839	0.115	8	1
